osm_id,name,religion,denomination,type
209221681,Chiesa Maria SS. delle Grazie,,,polygon
223379540,Chisa Di Craiscana,,,polygon
164690176,San Giovanni Battista,,,polygon
2040304319,Chiesa,,,point
120159212,Crocefisso della Macchia,,,polygon
158280125,Madonna del Rio,,,polygon
36685998,ex chiesa di San Gregorio,,,polygon
1775959527,Oratorio della Madonnina,,,point
183599769,Chiesa,,,polygon
186287135,Salice,,,polygon
184637574,Monastero di San Silvestro,,,polygon
89073496,San Martino,,,polygon
1231079338,Chiesa di San Giovanni,,,point
205508265,Madonna dell'Ulivo,,,polygon
146594175,San Paolo al Monte,,,polygon
147741083,Capitello di Sant'Antonio,,,polygon
428291734,Capp.la Cote Rouge,,,point
873831335,Capitello,,,point
1762399187,Parrocchia Ss. Nome Di Gesu',,,point
1462609966,Chiesa di Abbazia Pisani,,,point
109066906,Chiesa di San Michele del Gesù,,,polygon
99314778,Chiesa di San Frediano,,,polygon
167305603,Chiesa S.M. Pomposa,,,polygon
179585459,Santa Lucia,,,polygon
119457312,Chiesa di Santa Maria de La Cetina,,,polygon
145938109,Chiesetta di San Giacomo,,,polygon
1436202983,S. Maria del Piano,,,point
2040309239,Chiesa di Pagnolle,,,point
165992790,Chiesetta della Maternità di Maria,,,polygon
827778471,Chiesa di Monte Catone,,,point
124450122,Chiesa Parrocchiale Santa Maria delle Grazie,,,polygon
2222879540,Madonna Dell'Albero,,,point
194774555,Chiesa S. Gavino Martire,,,polygon
221023566,S. Rosalia,,,polygon
162366850,San Michele Arcangelo,,,polygon
590910268,Madona della neve,,,point
428173333,Covento S. Maria del Giglio,,,point
183130831,Chiesa della Beata Vergine Assunta,,,polygon
1161141350,cemetery,,,point
2235404740,San Bernardo di Chiaravalle,,,point
303970408,Santuario Bruceta,,,point
1120722394,Maddalena,,,point
215554676,Monastero di Santa Maria di Betlem,,,polygon
162060917,Santa Croce,,,polygon
166729124,Pieve,,,polygon
206004082,Madonna della Gelata,,,polygon
99550964,Cimitero di Carpena,,,polygon
1775566485,Cappella di Sant'Anna,,,point
