pagename,osm_id,osm_type,osm_lon,osm_lat,wiki_lon,wiki_lat,distance,intersects
Chiesa_dei_Santi_Alberto_e_Teresa,79299284,polygon,14.2527042965,40.8442368971,14.252735,40.84422,3.19774634564,True
Basilica_di_San_Pietro_di_Castello,138800730,polygon,12.3598753084,45.4345454011,12.3596,45.43458,21.8829872216,True
Rotonda_di_San_Lorenzo,93117520,polygon,10.7945954176,45.158191026,10.7944444444,45.1580555556,19.1725743055,False
Chiesa_di_San_Martino_(Portofino),83080051,polygon,9.20915954539,44.3039100838,9.20941666667,44.3038388889,21.9895212683,True
Chiesa_di_Sant'Andrea_dei_Vascellari,202980177,polygon,12.4777034156,41.8881935439,12.477737,41.888185,2.94447499902,True
Basilica_di_San_Pietro_in_Vincoli,201882369,polygon,12.4931663601,41.8938794486,12.4930694444,41.8938722222,8.08281836729,True
Chiesa_di_Santa_Maria_Immacolata_a_via_Veneto,203946249,polygon,12.4886034489,41.9050234806,12.4886666667,41.9046388889,43.038003511,False
Basilica_di_Santa_Sabina,50842360,polygon,12.4797883316,41.8844757357,12.4797222222,41.8844444444,6.49522027421,True
Chiesa_di_San_Jacopo_al_Tempio,182495737,polygon,11.0457524171,43.4705767593,11.0457555556,43.4705361111,4.52322736361,False
Basilica_di_San_Nazaro_in_Brolo,24971631,polygon,9.19273399774,45.4587973221,9.192767,45.458846,5.99434126887,True
Duomo_di_Pienza,53274384,polygon,11.6788287371,43.0762381586,11.6791638889,43.0763555556,30.2506405273,False
Abbazia_di_San_Pietro_a_Cerreto,164077004,polygon,11.0162204327,43.5442039916,11.0161777778,43.5441638889,5.63343091616,True
Chiesa_di_San_Francesco_(San_Miniato),166057440,polygon,10.8544521222,43.681794006,10.8544722222,43.6818055556,2.06723563805,True
Basilica_della_Santissima_Annunziata_del_Vastato,25369505,polygon,8.92830024413,44.41428205,8.92833333333,44.4141666667,13.0894822818,True
Chiesa_di_San_Martino_Vescovo_(Roccatederighi),48963529,polygon,11.0781096118,43.02518667,11.0781027778,43.0251833333,0.669090563578,True
Chiesa_di_San_Francesco_(Pescia),174330402,polygon,10.6910717035,43.9050377149,10.690775,43.905017,23.94625576,True
Chiesa_della_Santissima_Annunziata_(Livorno),1670014426,point,10.3103613915,43.5517332881,10.310374,43.551763,3.45475243449,True
Basilica_di_Sant'Apollinare_in_Classe,158591056,polygon,12.233011246,44.3802812798,12.2330722222,44.3802888889,4.93233458452,True
Basilica_di_Sant'Andrea_delle_Fratte,202339987,polygon,12.4838495678,41.9036383067,12.483552,41.903629,24.7125100324,True
Chiesa_di_San_Barnaba_(Milano),44899340,polygon,9.19901259721,45.4596689286,9.198927,45.459656,6.84734882795,True
Chiesa_di_San_Carlo_al_Corso_(Milano),44601409,polygon,9.19618666018,45.46625244,9.196259,45.466351,12.3286781894,True
Chiesa_dell%27Addolorata_%28Napoli%29,-2449920,polygon,14.2115894131,40.8183188743,14.124181,40.490586,37137.0147613,False
Chiesa_di_San_Vivaldo,164908477,polygon,10.8996180783,43.5263455626,10.8997777778,43.5261583333,24.482439071,False
Chiesa_di_San_Lorenzo_in_Panisperna,151584968,polygon,12.4932636455,41.8974342956,12.4931527778,41.8972444444,23.0066602547,False
Chiesa_di_San_Pietro_apostolo_(Nepi),160585397,polygon,12.347995607,42.2416838643,12.3479722222,42.2417222222,4.67749948759,True
Chiesa_di_San_Pietro_in_Forliano,182515125,polygon,11.0418049085,43.4703218923,11.041825,43.4702833333,4.58208123288,True
Chiesa_di_San_Pietro_in_Gessate,27596084,polygon,9.20151274937,45.4630762275,9.2015,45.462992,9.41406918016,True
Chiesa_di_San_Giacomo_alla_Lungara,131564943,polygon,12.4659564608,41.8949869675,12.465876,41.894946,8.08023488433,True
Chiesa_di_San_Giovanni_in_Bragora,138801077,polygon,12.3470016409,45.4343627302,12.346959,45.434298,7.93022344905,True
Chiesa_di_San_Marco_(Milano),42106021,polygon,9.18891158931,45.4733090764,9.188607,45.47331,23.8175770711,True
Chiesa_di_San_Donato_(Terricciola),168882216,polygon,10.6775712819,43.5244867869,10.6776388889,43.5245555556,9.39408161612,False
Villa_Corridi,168499486,polygon,10.3461319398,43.5200676592,10.3498527778,43.5228944444,434.891118245,False
Pieve_di_San_Martino_(Palaia),161484221,polygon,10.774192532,43.6085904588,10.7741944444,43.6085833333,0.806589891886,True
Chiesa_di_Nostra_Signora_del_Rosario_(Genova),132728680,polygon,8.95723339357,44.3942729188,8.95733055556,44.3941527778,15.4321239402,False
Chiesa_dei_Santi_Martino_e_Rosa,98124749,polygon,12.3013066742,45.8873181563,12.301143,45.887369,13.9046568059,True
Chiesa_di_Santa_Caterina_dei_Funari,99368279,polygon,12.47855836,41.8940347839,12.478554,41.893899,15.0860238495,True
