osm_id,name,type
1132157605,Madonna del Carmelo,point
1606469605,Duomo,point
860150369,Chiesa del Carmine,point
127282528,Chiesa di Sant'Antonio da Padova,polygon
167754157,Madonna dell'Aiuto,polygon
-121733,Pfarrkirche Sankt Michael,polygon
36686692,S. Giovanni eremita,polygon
685777858,San Francesco,point
207331323,Chiesa di Santa Maria assunta,polygon
1453795017,Chiesa di Specchio,point
128350364,Parrocchia dello Spirito Santo,polygon
195537121,Chiesa di San Domenico Savio,polygon
36433299,Chiesa della Beata Vergine delle Grazie,polygon
200594339,Chiesa di Santa Maria Crocifissa di Rosa,polygon
1505648644,Chiesa di Sant'Ambrogio,point
132215653,Santuario della Monta,polygon
874322218,Piazza don orione,point
665743403,Santa Maria Annunciata,point
1545004795,Chiesa di San Francesco,point
139875367,Chiesa di San Nicola,polygon
184820571,Cuore immacolato di Maria,polygon
36686483,Chiesa di San Giorgio,polygon
185589841,"Parrocchia ""Sant'Alfonso Maria de' Liguori""",polygon
112665810,S. Protasio e Gervasio,polygon
107373503,Chiesa di Santa Croce,polygon
80885137,Chiesa di Santa Lucia,polygon
835163297,Chiesa di Pieve S. Vincenzo,point
505539703,Seminario diocesano,point
191911741,Parrocchia Sacra Famiglia,polygon
905785227,"Oratorio di ""Santo Stefano""",point
1789857762,Madonna,point
135710623,Chiesa,polygon
174530774,Evangelische Kapelle,polygon
1156136770,Cappella di Lanzore,point
1399778777,Chiesa di S. Germano,point
1621296188,S. Francesco,point
428291734,Capp.la Cote Rouge,point
2171285011,Chiesa di San Rocco,point
2261281267,Chiesa di Quargnenta,point
203501000,Santa Vittoria,polygon
146019268,Duomo di Lonato,polygon
81064448,San Rocco,polygon
107445389,Pieve di San Cresci,polygon
158963472,Chiesa Parrocchiale di Paderno del Grappa,polygon
472481724,Cappella del Palazzo Reale di Portici,point
1406947814,Chiesa di San Giacomo,point
1511864690,San Pio X,point
129796144,Madonna di Campagna,polygon
144939721,Santuario di santa Marta,polygon
162665027,Chiesa di San Rocco,polygon
850426788,Wegkreuz,point
153950683,Chiesa di Santa Maria della Calispera,polygon
108096348,Chiesa SS.Lucio e Amanzio,polygon
2197929719,S.Lucia,point
138896228,Sant'Anna,polygon
180134079,Sant'Anna,polygon
127282521,Chiesa Madre,polygon
276393226,Chiesa San Antonio ai Ferrovieri,point
36687026,S. Urbano,polygon
120312358,San Mauro abate,polygon
204474079,Chiesa Parrocchiale di S. Remigio,polygon
112451083,Chiesa di San Pietro e Paolo,polygon
70259362,Chiesa San Tommaso,polygon
1829560621,Chiesa di San Michele,point
748142320,Santa Maria Anunziata,point
36686331,Santuario sacrario caduti e dispersi in Russia,polygon
288728194,Santa Valeria,point
153409138,San Lorenzo ad Septimum,polygon
201972048,Santa Maria del Buon Consiglio,polygon
79827344,Chiesa di San Benedetto,polygon
2151569004,cappella di Sant'Anna,point
2171687581,Chiesa di S. Rita,point
109729478,Chiesa die S. Nicola,polygon
382229119,San Martino Vescovo,point
2234087680,Chiesa di San Domenico,point
1763673267,Chiesa Pardesca Vecchia,point
165483744,Chiesa,polygon
165259516,Chiesa di Sant'Urbano Papa e Martire,polygon
207563976,Maria Assunta,polygon
929267688,San Tommaso,point
1701043202,S.Francesco,point
209354780,Ancona dei Scevoi,polygon
-2051633,Santi Domenico e Sisto,polygon
202879042,San Tommaso in Formis all’Arco di Dolabella,polygon
105495953,Chiesa Sant'Antonio,polygon
1782118441,Sant'Eligio,point
1386452616,Chiesa di Santa Maria Assunta,point
313807419,CHIESA,point
50338042,Pieve SS. Pietro e Paolo,polygon
704527284,Chiesa del Beato Sante,point
170077339,Chiesa di Sant'Antonio Abate,polygon
1706011293,Chiesa del Carmine,point
138894817,Santa Caterina,polygon
199189254,Convento dei Cappuccini,polygon
86886706,San Sebastiano,polygon
378007651,Sankt Justina Kirche,point
60616315,Chiesa di S. Maria in Via,polygon
1834224715,Sant'Antonio,point
305495429,Chiesa Evangelica Metodista,point
901196610,Oratorio di Mocchirolo,point
675631811,Chiesa di Silvelle,point
153269054,Chiesa del Corpus Domini,polygon
171531901,Chiesa di San Agata,polygon
929836130,San Domenico,point
204725704,Chiesa dell'Immacolata,polygon
447672880,Santa Veneranda,point
75759873,Chiesa parrocchiale di Nostra Signora degli Angeli,polygon
36686247,S. Giovanni Battista,polygon
86869484,Chiesetta Rossa,polygon
503615337,Marie Himmelfahrt,point
36686709,S.S. Andrea e Mattia,polygon
172300139,Chiesa del Rosario,polygon
188115901,San Michelino,polygon
582754777,Chiesa del Lazzaretto,point
26002910,San Pietro,polygon
36685989,Chiesa Santissimo Redentore,polygon
2060672353,Chiesa di S. Basilio,point
36684706,Chiesa evangelico luterana,polygon
74565402,Chiesa Del Purgatorio,polygon
1130956259,Chiesa di S.Egidio,point
474713659,Chiesa del Sacro Cuore,point
243855918,San Bellino,point
582639926,Pfarrkirche Terlan - Parocchia Terlano,point
588588091,S. Uldarico (old),point
161460991,Chiesa Cristiana Evangelica,polygon
1878450882,Cappella Madonna della Neve,point
199918089,Parrocchia San Giuseppe,polygon
57710334,Chiesetta di Sant'Agata,polygon
108019896,Santa Caterina Martire,polygon
888322176,Capitello,point
71736495,Pieve di San Giovanni in Sugana,polygon
35035686,San Rocco,polygon
165090412,Chiesa di Santa Maria dei Miracoli presso San Celso,polygon
1476459834,Chiesa Tour d'Herera,point
2238388994,Chiesa della Madonna della Neve,point
147174003,Chiesa dell'Immacolata,polygon
67604168,Abbazia di Santa Maria Assunta in Maguzzano,polygon
120147883,Abbazia di San Lorenzo a Coltibuono,polygon
193722099,Chiesa di Salgareda,polygon
82255118,Addolorata,polygon
137884637,Chiesa di San Carlo,polygon
139191355,"Chiesa dei Santi Vito, Modesto e Crescenzia",polygon
-1841087,Basilica di Santa Francesca Romana,polygon
157517460,Santuario Madonna del Lavello,polygon
1394824649,San Donato,point
86391024,Santo Stefano del Monte,polygon
179174023,Santuario Monte Tranquillo,polygon
107716421,Nostra Signora del Carmine,polygon
36685641,Madonna della Salute,polygon
36685947,Santuario di Madonna d'aiuto,polygon
2028064568,Confraternita Santissima Annunziata,point
260031203,Chiesa di San Francesco,point
108000558,Gesù e Maria,polygon
23608471,Santa Maria Maddalena,polygon
36685225,San Pietro Apostolo,polygon
159549062,Chiesa die Santa Barbara,polygon
145634914,Chiesa del Redentore,polygon
128413995,Chiesa S.Egidio,polygon
205037844,Chiesa di San Giovanni Decollato,polygon
198968749,Chiesa di Santa Margherita,polygon
897042770,Oratorio di Villa Sermondi,point
36684705,Chiesa di Maria Regina Pacis,polygon
134104339,Madonna delle Laite,polygon
1755935798,Chiesa Madonna delle Grazie,point
138843126,San Raffaele Arcangelo,polygon
198772162,Maria Regina della Pace,polygon
142371355,Chiesa di San Gregorio Magno,polygon
106668016,Natività di Maria,polygon
169774484,Chiesa di San Matteo Apostolo,polygon
1623545763,Gesù Buon Pastore,point
2159196355,Alte St. Josef Kapelle,point
162430582,Eremo di Sant'Alberto,polygon
327307491,Sant'Andrea in Monte,point
153148010,Parrocchia Santa Maria di Gesù,polygon
51455629,Chiesa Sacro Cuore,polygon
1770527311,Viên Ý,point
182488702,San Giovanni,polygon
198791374,Chiesa di Santa Giustina,polygon
80924193,S. Sergio,polygon
47293612,Chiesuola della Madonna,polygon
1215858172,Chiesa di San Giorgio,point
2295961280,Cappella V,point
2313349682,Chiesa del Carmine,point
71888281,Chiesa di San Bartolomeo a Faltignano,polygon
160678450,Santa Maria di Loreto,polygon
275610831,Parrocchia SS.Nome di Maria,point
607066475,S. Zeno,point
138919514,San Fermo,polygon
147887993,Santuario della B. V. delle Cendrole,polygon
98066995,Chiesa della Santa Famiglia di Nazareth,polygon
89389027,Chiesa di Santa Maria della Consolazione,polygon
36686881,Chiesa della Santa Croce,polygon
167686270,Chiesa di Santa Maria Domenica,polygon
23770975,Santa Maria del Soccorso,polygon
1848333147,Chiesa San Francesco,point
51455625,Chiesa dello Spirito Santo,polygon
1556808118,Santuario Madonna della Provvidenza,point
148705595,Capitello della Madonna del Rosario,polygon
246811559,Chiesa di San Bartolomeo,point
