pagename,osm_id,osm_type,osm_lon,osm_lat,wiki_lon,wiki_lat,distance,intersects
Chiesa_di_Santa_Maria_Immacolata_a_via_Veneto,203946249,polygon,12.48866667,41.90463889,12.4886034489,41.9050234806,43.037915617,False
Basilica_di_Santa_Sabina,50842360,polygon,12.47972222,41.88444444,12.4797883316,41.8844757357,6.49563604948,True
Chiesa_di_San_Jacopo_al_Tempio,182495737,polygon,11.04575556,43.47053611,11.0457524171,43.4705767593,4.52336938602,False
Basilica_di_San_Nazaro_in_Brolo,24971631,polygon,9.192767,45.458846,9.19273399774,45.4587973221,5.99434126887,True
Duomo_di_Pienza,53274384,polygon,11.67916389,43.07635556,11.6788287371,43.0762381586,30.2509321051,False
Abbazia_di_San_Pietro_a_Cerreto,164077004,polygon,11.01617778,43.54416389,11.0162204327,43.5442039916,5.63322545665,True
Chiesa_di_San_Francesco_(San_Miniato),166057440,polygon,10.85447222,43.68180556,10.8544521222,43.681794006,2.06740008003,True
Basilica_della_Santissima_Annunziata_del_Vastato,25369505,polygon,8.92833333,44.41416667,8.92830024413,44.41428205,13.0890696971,True
Chiesa_di_San_Martino_Vescovo_(Roccatederighi),48963529,polygon,11.07810278,43.02518333,11.0781096118,43.02518667,0.669144508621,True
Chiesa_di_San_Francesco_(Pescia),174330402,polygon,10.690775,43.905017,10.6910717035,43.9050377149,23.94625576,True
Chiesa_della_Santissima_Annunziata_(Livorno),1670014426,point,10.310374,43.551763,10.3103613915,43.5517332881,3.45475243449,True
Basilica_di_Sant'Apollinare_in_Classe,158591056,polygon,12.23307222,44.38028889,12.233011246,44.3802812798,4.9321828132,True
Chiesa_di_San_Barnaba_(Milano),44899340,polygon,9.198927,45.459656,9.19901259721,45.4596689286,6.84734882795,True
Basilica_di_Sant'Andrea_delle_Fratte,202339987,polygon,12.483552,41.903629,12.4838495678,41.9036383067,24.7125100324,True
Chiesa_di_San_Carlo_al_Corso_(Milano),44601409,polygon,9.196259,45.466351,9.19618666018,45.46625244,12.3286781894,True
Chiesa_di_San_Vivaldo,164908477,polygon,10.89977778,43.52615833,10.8996180783,43.5263455626,24.4828443772,False
Chiesa_di_San_Lorenzo_in_Panisperna,151584968,polygon,12.49315278,41.89724444,12.4932636455,41.8974342956,23.007035188,False
Chiesa_di_San_Pietro_in_Forliano,182515125,polygon,11.041825,43.47028333,11.0418049085,43.4703218923,4.5824240179,True
Chiesa_di_San_Pietro_apostolo_(Nepi),160585397,polygon,12.34797222,42.24172222,12.347995607,42.2416838643,4.67735182429,True
Chiesa_di_San_Pietro_in_Gessate,27596084,polygon,9.2015,45.462992,9.20151274937,45.4630762275,9.41406918016,True
Chiesa_di_San_Giacomo_alla_Lungara,131564943,polygon,12.465876,41.894946,12.4659564608,41.8949869675,8.08023488433,True
Chiesa_di_San_Marco_(Milano),42106021,polygon,9.188607,45.47331,9.18891158931,45.4733090764,23.8175770711,True
Chiesa_di_San_Donato_(Terricciola),168882216,polygon,10.67763889,43.52455556,10.6775712819,43.5244867869,9.39453095313,False
Pieve_di_San_Martino_(Palaia),161484221,polygon,10.77419444,43.60858333,10.774192532,43.6085904588,0.806881872183,True
Chiesa_di_Nostra_Signora_del_Rosario_(Genova),132728680,polygon,8.95733056,44.39415278,8.95723339357,44.3942729188,15.4320899165,False
Chiesa_dei_Santi_Martino_e_Rosa,98124749,polygon,12.301143,45.887369,12.3013066742,45.8873181563,13.9046568059,True
Chiesa_di_Santa_Caterina_dei_Funari,99368279,polygon,12.478554,41.893899,12.47855836,41.8940347839,15.0860238495,True
Basilica_di_Santa_Maria_in_Cosmedin,120854225,polygon,12.48166667,41.88805556,12.4817017962,41.8880911929,4.91560762366,True
Chiesa_di_Sant'Angelo_(Milano),40981259,polygon,9.19267,45.475943,9.19278384551,45.4758852563,10.9739586507,True
Tempio_israelitico_di_Modena,1477854877,point,10.92691389,44.64634722,10.9273858633,44.6471759851,99.416394705,False
Pieve_di_San_Giovanni_Battista_a_Mensano,-2187195,polygon,11.05418333,43.30075278,11.0541441554,43.3007832091,4.6403512014,False
Chiesa_di_San_Leonardo_(Venezia),138843471,polygon,12.3267152,45.44341689,12.3269318635,45.4433855483,17.3051598327,False
Chiesa_di_Santa_Dorotea,204145400,polygon,12.468161,41.892127,12.4681362025,41.8921975778,8.10478992426,True
Chiesa_di_San_Sebastiano_(Livorno),630952981,point,10.306109,43.549147,10.3062070427,43.5490761386,11.1694321856,True
Chiesa_di_Santa_Maria_delle_Anime_del_Purgatorio_ad_Arco,123519124,polygon,14.2557,40.850571,14.2556781286,40.8506344007,7.2782611856,True
Chiesa_di_Nostra_Signora_del_Sacro_Cuore_(Roma),-941918,polygon,12.47353611,41.89824167,12.4736423033,41.8982421109,8.81233518413,True
Chiesa_di_Sant'Agrippino_a_Forcella,183993511,polygon,14.262085,40.85057,14.2620971134,40.8505883912,2.28355507361,True
Chiesa_di_San_Paolo_dentro_le_Mura,201319582,polygon,12.49416667,41.90083333,12.4942851866,41.9010688566,27.9477134424,False
Basilica_di_San_Lorenzo_(Milano),165882137,polygon,9.181941,45.457906,9.18207328558,45.4580955773,23.4732282616,False
Chiesa_di_San_Michele_Arcangelo_(Pescia),174330398,polygon,10.686783,43.900325,10.686779656,43.9002720718,5.88700136298,True
Chiesa_del_Sacro_Cuore_(Livorno),69305769,polygon,10.33195,43.54850833,10.3322750316,43.5485286281,26.3630524922,False
Basilica_di_Santo_Stefano_Maggiore,27596761,polygon,9.1945,45.4623,9.19605790055,45.4622224237,122.148477081,False
Chiesa_di_San_Callisto,51368811,polygon,12.470511,41.889054,12.4703239315,41.8890405432,15.5974422093,False
Chiesa_di_San_Michele_Arcangelo_(Busto_Arsizio),96372442,polygon,8.845845,45.612702,8.84587386075,45.612704751,2.27186463,True
Chiesa_di_Santa_Croce_alla_Lungara,204154962,polygon,12.466003,41.894451,12.4659101733,41.8943831964,10.7731030677,True
